=== 20200621 Start ==========================
cameras        : ./21_data/input/200616_SilhoutteFitted/cam_params.json
mesh           : D:\1_Projects\200325_PyTorch3d_Projects\0_data\output\200619_SilFittedMesh_vtAdded
clean plates   : D:\Pictures\2019_12_13_Lada_Capture\CleanPlates\undistorted
images         : 03052.pgm 03067.pgm 04735.pgm 06550.pgm 06250.pgm
---------------------------------------------

15:05:02 | 0000 | 17.33s | lr=0.10000000 | loss=0.914306 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:05:24 | 0001 | 17.22s | lr=0.10000000 | loss=0.800590 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:05:42 | 0002 | 17.31s | lr=0.10000000 | loss=0.740667 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:06:00 | 0003 | 17.39s | lr=0.10000000 | loss=0.684350 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:06:18 | 0004 | 17.41s | lr=0.10000000 | loss=0.626343 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:06:36 | 0005 | 17.50s | lr=0.10000000 | loss=0.576718 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:06:58 | 0006 | 17.59s | lr=0.10000000 | loss=0.542248 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:07:16 | 0007 | 17.50s | lr=0.10000000 | loss=0.519504 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:07:34 | 0008 | 17.44s | lr=0.10000000 | loss=0.501550 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:07:52 | 0009 | 17.56s | lr=0.10000000 | loss=0.487140 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:08:10 | 0010 | 17.60s | lr=0.10000000 | loss=0.478445 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:08:33 | 0011 | 17.47s | lr=0.10000000 | loss=0.477290 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:08:51 | 0012 | 17.58s | lr=0.10000000 | loss=0.480839 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:09:09 | 0013 | 17.52s | lr=0.10000000 | loss=0.484538 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:09:27 | 0014 | 17.68s | lr=0.10000000 | loss=0.486074 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:09:45 | 0015 | 17.64s | lr=0.09000000 | loss=0.485213 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:10:08 | 0016 | 17.61s | lr=0.09000000 | loss=0.482480 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:10:26 | 0017 | 17.61s | lr=0.09000000 | loss=0.477989 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:10:44 | 0018 | 17.63s | lr=0.08100000 | loss=0.472181 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
15:11:02 | 0019 | 17.70s | lr=0.08100000 | loss=0.466188 | GPU_allocated(934.17Mb) | GPU_cached(1,627.39Mb)
