=== 20200621 Start ==========================
cameras        : ./21_data/input/200616_SilhoutteFitted/cam_params.json
mesh           : D:\1_Projects\200325_PyTorch3d_Projects\0_data\output\200619_SilFittedMesh_vtAdded
clean plates   : D:\Pictures\2019_12_13_Lada_Capture\CleanPlates\undistorted
images         : 03052.pgm 03067.pgm 04735.pgm 06550.pgm 06250.pgm
---------------------------------------------

17:14:34 | 0043 | 17.63s | lr=0.07290000 | loss=0.030953 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:14:52 | 0044 | 17.62s | lr=0.07290000 | loss=0.030891 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:15:10 | 0045 | 17.55s | lr=0.07290000 | loss=0.030825 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:15:33 | 0046 | 17.64s | lr=0.07290000 | loss=0.030757 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:15:51 | 0047 | 17.65s | lr=0.07290000 | loss=0.030687 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:16:09 | 0048 | 17.56s | lr=0.07290000 | loss=0.030618 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:16:27 | 0049 | 17.61s | lr=0.07290000 | loss=0.030550 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:16:45 | 0050 | 17.59s | lr=0.07290000 | loss=0.030487 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:17:08 | 0051 | 17.65s | lr=0.07290000 | loss=0.030428 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:17:26 | 0052 | 17.62s | lr=0.07290000 | loss=0.030375 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:17:44 | 0053 | 17.61s | lr=0.07290000 | loss=0.030328 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:18:02 | 0054 | 17.66s | lr=0.07290000 | loss=0.030287 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:18:20 | 0055 | 17.66s | lr=0.07290000 | loss=0.030253 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:18:43 | 0056 | 17.66s | lr=0.07290000 | loss=0.030224 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:19:01 | 0057 | 17.67s | lr=0.07290000 | loss=0.030201 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:19:19 | 0058 | 17.55s | lr=0.07290000 | loss=0.030182 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:19:37 | 0059 | 17.60s | lr=0.07290000 | loss=0.030167 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:19:55 | 0060 | 17.65s | lr=0.07290000 | loss=0.030155 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:20:18 | 0061 | 17.58s | lr=0.07290000 | loss=0.030145 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:20:36 | 0062 | 17.62s | lr=0.07290000 | loss=0.030136 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:20:54 | 0063 | 17.63s | lr=0.07290000 | loss=0.030128 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:21:12 | 0064 | 17.60s | lr=0.07290000 | loss=0.030120 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
