=== 20200621 Start ==========================
cameras        : ./21_data/input/200616_SilhoutteFitted/cam_params.json
mesh           : D:\1_Projects\200325_PyTorch3d_Projects\0_data\output\200619_SilFittedMesh_vtAdded
clean plates   : D:\Pictures\2019_12_13_Lada_Capture\CleanPlates\undistorted
images         : 03052.pgm 03067.pgm 04735.pgm 06550.pgm 06250.pgm
---------------------------------------------

15:54:08 | 0043 | 17.69s | lr=0.07290000 | loss=0.023024 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:54:26 | 0044 | 17.59s | lr=0.07290000 | loss=0.022971 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:54:44 | 0045 | 17.66s | lr=0.07290000 | loss=0.022912 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:55:07 | 0046 | 17.61s | lr=0.07290000 | loss=0.022850 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:55:25 | 0047 | 17.54s | lr=0.07290000 | loss=0.022786 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:55:43 | 0048 | 17.67s | lr=0.07290000 | loss=0.022721 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:56:01 | 0049 | 17.65s | lr=0.07290000 | loss=0.022657 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:56:19 | 0050 | 17.61s | lr=0.07290000 | loss=0.022596 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:56:42 | 0051 | 17.64s | lr=0.07290000 | loss=0.022539 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:57:00 | 0052 | 17.59s | lr=0.07290000 | loss=0.022488 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:57:18 | 0053 | 17.61s | lr=0.07290000 | loss=0.022442 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:57:36 | 0054 | 17.67s | lr=0.07290000 | loss=0.022402 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:57:54 | 0055 | 17.68s | lr=0.07290000 | loss=0.022369 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:58:17 | 0056 | 17.53s | lr=0.07290000 | loss=0.022341 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:58:35 | 0057 | 17.51s | lr=0.07290000 | loss=0.022318 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:58:53 | 0058 | 17.61s | lr=0.07290000 | loss=0.022301 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:59:11 | 0059 | 17.62s | lr=0.07290000 | loss=0.022286 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:59:29 | 0060 | 17.61s | lr=0.07290000 | loss=0.022275 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:59:52 | 0061 | 17.60s | lr=0.07290000 | loss=0.022266 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:00:10 | 0062 | 17.58s | lr=0.07290000 | loss=0.022258 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:00:28 | 0063 | 17.67s | lr=0.07290000 | loss=0.022251 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:00:46 | 0064 | 17.57s | lr=0.07290000 | loss=0.022244 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:01:04 | 0065 | 17.63s | lr=0.07290000 | loss=0.022237 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:01:27 | 0066 | 17.55s | lr=0.07290000 | loss=0.022230 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:01:45 | 0067 | 17.59s | lr=0.07290000 | loss=0.022223 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:02:03 | 0068 | 17.61s | lr=0.07290000 | loss=0.022216 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:02:21 | 0069 | 17.63s | lr=0.07290000 | loss=0.022209 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:02:39 | 0070 | 17.55s | lr=0.07290000 | loss=0.022201 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:03:02 | 0071 | 17.52s | lr=0.07290000 | loss=0.022194 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:03:20 | 0072 | 17.60s | lr=0.07290000 | loss=0.022188 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:03:38 | 0073 | 17.53s | lr=0.07290000 | loss=0.022182 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:03:56 | 0074 | 17.65s | lr=0.07290000 | loss=0.022177 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:04:14 | 0075 | 17.64s | lr=0.07290000 | loss=0.022172 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:04:37 | 0076 | 17.56s | lr=0.07290000 | loss=0.022168 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:04:55 | 0077 | 17.63s | lr=0.07290000 | loss=0.022165 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:05:13 | 0078 | 17.60s | lr=0.07290000 | loss=0.022162 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:05:31 | 0079 | 17.68s | lr=0.07290000 | loss=0.022160 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
