=== 20200621 Start ==========================
cameras        : ./21_data/input/200616_SilhoutteFitted/cam_params.json
mesh           : D:\1_Projects\200325_PyTorch3d_Projects\0_data\output\200619_SilFittedMesh_vtAdded
clean plates   : D:\Pictures\2019_12_13_Lada_Capture\CleanPlates\undistorted
images         : 03052.pgm 03067.pgm 04735.pgm 06550.pgm 06250.pgm
---------------------------------------------

14:23:55 | 0000 | 17.31s | lr=0.10000000 | loss=0.982944 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:24:17 | 0001 | 17.43s | lr=0.10000000 | loss=0.858309 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:24:35 | 0002 | 17.30s | lr=0.10000000 | loss=0.791462 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:24:53 | 0003 | 17.35s | lr=0.10000000 | loss=0.731201 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:25:10 | 0004 | 17.32s | lr=0.10000000 | loss=0.670077 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:25:28 | 0005 | 17.45s | lr=0.10000000 | loss=0.617835 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:25:51 | 0006 | 17.52s | lr=0.10000000 | loss=0.581538 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:26:09 | 0007 | 17.52s | lr=0.10000000 | loss=0.558452 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:26:27 | 0008 | 17.58s | lr=0.10000000 | loss=0.541035 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:26:45 | 0009 | 17.53s | lr=0.10000000 | loss=0.527122 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:27:03 | 0010 | 17.60s | lr=0.10000000 | loss=0.518532 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:27:26 | 0011 | 17.63s | lr=0.10000000 | loss=0.517172 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:27:44 | 0012 | 17.56s | lr=0.10000000 | loss=0.520583 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:28:02 | 0013 | 17.63s | lr=0.10000000 | loss=0.524282 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:28:20 | 0014 | 17.62s | lr=0.10000000 | loss=0.525730 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:28:38 | 0015 | 17.57s | lr=0.09000000 | loss=0.524550 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:29:01 | 0016 | 17.64s | lr=0.09000000 | loss=0.521404 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:29:19 | 0017 | 17.54s | lr=0.09000000 | loss=0.516524 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:29:37 | 0018 | 17.52s | lr=0.09000000 | loss=0.510414 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:29:55 | 0019 | 17.64s | lr=0.09000000 | loss=0.503709 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:30:13 | 0020 | 17.51s | lr=0.09000000 | loss=0.497197 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:30:35 | 0021 | 17.70s | lr=0.09000000 | loss=0.491671 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:30:54 | 0022 | 17.56s | lr=0.09000000 | loss=0.487607 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:31:12 | 0023 | 17.57s | lr=0.09000000 | loss=0.485039 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:31:30 | 0024 | 17.65s | lr=0.09000000 | loss=0.483724 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:31:48 | 0025 | 17.62s | lr=0.09000000 | loss=0.483304 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:32:10 | 0026 | 17.59s | lr=0.09000000 | loss=0.483348 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:32:28 | 0027 | 17.57s | lr=0.09000000 | loss=0.483415 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:32:47 | 0028 | 17.60s | lr=0.09000000 | loss=0.483170 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:33:05 | 0029 | 17.58s | lr=0.09000000 | loss=0.482482 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:33:23 | 0030 | 17.62s | lr=0.09000000 | loss=0.481392 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:33:45 | 0031 | 17.66s | lr=0.09000000 | loss=0.480027 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:34:04 | 0032 | 17.69s | lr=0.09000000 | loss=0.478574 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:34:22 | 0033 | 17.59s | lr=0.09000000 | loss=0.477223 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:34:40 | 0034 | 17.62s | lr=0.09000000 | loss=0.476125 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:34:58 | 0035 | 17.65s | lr=0.09000000 | loss=0.475327 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:35:21 | 0036 | 17.65s | lr=0.09000000 | loss=0.474788 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:35:39 | 0037 | 17.62s | lr=0.09000000 | loss=0.474415 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:35:57 | 0038 | 17.66s | lr=0.09000000 | loss=0.474118 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:36:15 | 0039 | 17.61s | lr=0.09000000 | loss=0.473826 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:36:33 | 0040 | 17.55s | lr=0.09000000 | loss=0.473493 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:36:56 | 0041 | 17.65s | lr=0.09000000 | loss=0.473115 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:37:14 | 0042 | 17.65s | lr=0.09000000 | loss=0.472711 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:37:32 | 0043 | 17.61s | lr=0.09000000 | loss=0.472313 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:37:50 | 0044 | 17.62s | lr=0.09000000 | loss=0.471949 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:38:08 | 0045 | 17.64s | lr=0.09000000 | loss=0.471630 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:38:31 | 0046 | 17.99s | lr=0.09000000 | loss=0.471361 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:38:49 | 0047 | 17.74s | lr=0.09000000 | loss=0.471133 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
14:39:07 | 0048 | 17.59s | lr=0.09000000 | loss=0.470933 | GPU_allocated(935.02Mb) | GPU_cached(1,627.39Mb)
